frase,posicao,palavra,surprisal
1,1,O,NA
1,2,menino,14.680532636211415
1,3,serviu,12.010656078021483
1,4,refrigerante,19.10851078594425
1,5,e,3.4202451190716068
1,6,colocou,10.145043315910012
1,7,a,3.76362361599248
1,8,garrafa,7.108779045905574
1,9,na,3.2163338890761173
1,10,mesa,3.1831763219203713
2,1,O,NA
2,2,menino,14.680532636211415
2,3,serviu,12.010656078021483
2,4,refrigerante,19.10851078594425
2,5,e,3.4202451190716068
2,6,colocou,10.145043315910012
2,7,a,3.76362361599248
2,8,garrafa,7.108779045905574
2,9,na,3.2163338890761173
2,10,geladeira,7.054416869750011
3,1,O,NA
3,2,menino,14.680532636211415
3,3,serviu,12.010656078021483
3,4,refrigerante,19.10851078594425
3,5,e,3.4202451190716068
3,6,colocou,10.145043315910012
3,7,a,3.76362361599248
3,8,garrafa,7.108779045905574
3,9,na,3.2163338890761173
3,10,gaiola,14.569804702141111
